gene	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
FUN_012218	6.07240079954831	5.74585420261775	3.34702734933736	5.90580370291486	3.4825385365388	4.03931140906297	5.32928803098371	2.50681534117236	2.46889615844116	3.85501801719218
FUN_012529	3.863947070988	4.53097183107034	0	3.64784838122913	3.57344376720355	1.8972612725458	3.14419592411251	3.83494529187808	3.19616017100598	4.14383854394694
FUN_014524	10.3067545181698	10.031888629195	10.6189649867975	10.4477973180853	10.1541057573668	9.98815689160185	9.98207818325839	10.1956069173886	10.1311386371745	10.1338112417023
FUN_014814	7.07782185899584	8.65963249259556	7.78928536141502	8.8409057467127	7.38781448165578	7.68214512335476	7.17369469928397	7.11256244714473	7.14590373894809	7.46560476974293
FUN_015038	3.863947070988	4.15802519564957	3.67774134439085	4.33802471283152	3.73968764571565	4.03931140906297	3.60896405056028	3.13849794223208	0.931486454148546	3.97756676473137
FUN_015140	3.3276956985336	3.87699468856577	3.34702734933736	4.51018017239265	2.60615791485751	3.33392640757399	2.45431375211196	2.85695665487056	3.45675895338434	3.01003603839915
FUN_015933	4.2539980373982	6.05098148793137	3.34702734933736	6.28350667920598	4.94513142260975	5.56455849582351	5.24657227442184	5.4826540399853	5.53487101321776	5.3032850597204
FUN_016697	2.81284840013196	3.23665646628527	3.14807370763595	2.61506443318817	3.38551780200348	3.19773354918572	4.40342838274826	3.66779014668041	3.77624730593119	3.97756676473137
FUN_016745	6.13559871552513	5.56509103365088	4.06431581197605	5.20498342092823	5.92152336952232	5.53659889984244	5.55229614369597	5.87688282362362	5.38632134404074	5.76127363648156
FUN_016791	8.57244419796404	8.40555028540052	8.32567247130323	8.39568885841159	8.27595152507007	8.34956766754381	8.47606367803951	8.07429525428147	8.23068925050885	8.41075673745034
FUN_017195	5.97208902338395	5.59683517459137	6.19166509963014	5.2542601475026	5.75672746981401	6.12999794132	6.4470845612527	5.93325917688067	6.21890602219606	6.13495145391235
FUN_017569	7.44516203336818	7.16178631833372	7.51726902880416	7.37790290708367	7.40648029237409	7.1660239570889	6.76198421790684	7.31707949034191	7.33611815616802	7.35689991793603
FUN_017361	12.4169897019526	12.3278060712017	11.7723867989639	12.264032165199	12.2157899212121	12.1360209448348	12.4487495488551	12.3093980886802	12.2721531740837	12.2749977195641
FUN_017716	10.7482915671908	10.6839920146259	10.4894673370593	10.7108802068621	10.7666088728012	10.6751842828929	10.5971409219335	10.5147894784027	10.577320285605	10.5963337528541
FUN_017798	8.60071509103601	8.57848473801051	8.38344277279898	8.63772682504645	8.79115840989855	8.90051792236219	8.59367136511254	8.8888884396521	8.86827128700482	8.82813153871541
FUN_008711	6.22548973571802	5.80140334552574	6.31555023096493	6.60172592926651	6.36493654952003	6.2553714866646	6.24885303857306	5.96965555335293	6.14684836816524	6.14805992376902
FUN_009089	3.863947070988	2.64761246852406	3.34702734933736	3.91627507404783	3.88873906315013	3.33392640757399	4.47783838856135	4.35861915852364	3.19616017100598	4.29291238440829
FUN_009380	5.38129240672122	5.88091161902147	6.47285511910554	5.81018434220326	6.32624763374477	4.9947581661113	5.8044257273151	7.65546590101019	7.06023171714229	7.35124359159697
FUN_009557	2.46467584643928	2.3821236104428	2.30227688409273	2.88910980570219	2.76887694404148	0	2.72260910506733	4.41249540481732	3.57129829656827	4.96105391926521
FUN_006409	4.2539980373982	0	0	4.42666881439207	3.4825385365388	3.67903712637042	2.45431375211196	3.75378725591012	3.04577854512088	3.57343375334313
FUN_006468	9.50624408468692	9.63509618800282	9.99176186362777	9.66353655287153	9.12563839691326	8.95434593914802	9.45574220281778	9.14108044024489	9.06193051042588	9.14330068228414
FUN_006905	7.38140794735385	7.0400605398672	7.73705946862946	7.47463432134218	6.90082264317674	6.83975693916131	7.03270903852183	6.96712798590668	6.76767556940894	6.8716062923051
FUN_006971	9.52111234227452	9.73654801285943	9.87175232069463	9.61955420562227	9.09527975133726	8.83889093382988	9.37772597894099	9.21873846022043	9.12658225223455	9.17085678988758
FUN_007383	5.27302751131698	4.59524666520245	2.91722672593134	4.24357537647325	3.73968764571565	5.11307523456519	4.32497081846604	3.91177995579084	4.50930071021458	4.09051581391031
FUN_007411	6.4657659986022	6.89439321518856	5.42442259671819	6.35301381323399	6.27299360788258	6.2553714866646	6.4284430856426	6.45363859854658	6.57520593490881	6.18668550492758
FUN_007476	5.09368183232455	5.11704177024581	4.69515423946725	5.47817252533486	4.97878136473899	5.07470433784958	5.28852287667427	4.93842965021262	4.38951736416779	5.01928314697975
FUN_012871	4.13532469408654	3.23665646628527	3.67774134439085	2.88910980570219	2.76887694404148	3.04733076473122	3.31629744174948	2.85695665487056	2.46889615844116	2.6162457252593
FUN_030315	3.52941297888766	4.39313590994876	3.67774134439085	4.66396515282976	3.81613739683416	3.77788444443493	4.40342838274826	3.98472866505922	3.33233568264059	3.57343375334313
FUN_017546	3.70635490629307	4.53097183107034	3.52184001053841	4.42666881439207	3.4825385365388	3.33392640757399	4.24199990051864	3.91177995579084	3.86874612952801	4.29291238440829
FUN_030317	6.31010685160899	7.20362182547462	6.94137668420429	6.72919062170182	7.05862819641671	7.12905366340016	6.70116150266031	7.31707949034191	7.02045875781052	6.75649715257724
FUN_001161	0	6.09610503491327	0	2.61506443318817	4.55680424010018	6.05313940444968	5.86112852583704	5.40504473634231	5.5063595900222	4.66532110394053
FUN_001283	8.383598331224	6.59762877386894	7.19472894489227	6.13355994265649	0	4.51098916657378	7.30212095577153	0	0	0
FUN_001784	3.09311757596907	2.3821236104428	0	0	2.60615791485751	3.45836415821132	2.45431375211196	2.85695665487056	4.11522649894573	2.07286127982634
FUN_002464	5.52983000247338	5.20205717811596	3.81842652146717	4.58912079398818	5.25079268869367	5.92958234534763	5.61957820979213	6.10669984863605	5.61717280295156	5.86017335847123
FUN_002574	6.87053829709973	7.21389385784856	6.4296334221952	6.72919062170182	7.33682504968298	7.36991643450547	7.59740094750759	7.39943137442368	7.27827114324478	7.47603799647042
FUN_013895	7.64299952294884	7.58225373596064	7.63610673107266	7.70475770665684	8.17432992731966	8.10020887755666	7.98953407969322	8.25472933603165	8.03997391724164	8.1749595774454
FUN_015100	0	2.87175551697067	0	0	0	4.11689061237861	4.24199990051864	4.41249540481732	0	3.31906398098684
FUN_014058	5.15597405627569	5.43063159611325	0	4.42666881439207	4.60069112320116	4.62159085469044	5.01630312112132	4.74200748017301	5.25538149885603	5.07525305467423
FUN_014220	4.88883335475972	5.46543943003865	4.89904393161065	5.39273110155838	4.60069112320116	5.74643031610135	4.91281289584374	4.97469744219658	3.77624730593119	5.27965664291614
FUN_014382	4.81353361642433	0	4.27433576246353	0	3.65895894873873	4.67386643671993	5.24657227442184	0	4.50930071021458	5.07525305467423
FUN_015457	5.78765050321554	5.98053421479854	0	4.92966826938561	5.52582546733627	6.01311805535842	6.71660926259673	5.71479630459249	6.10942336294463	6.16105036042843
FUN_016206	6.92521743056504	8.063257430547	8.31976614231386	8.35108545742988	6.35215517903823	6.70807747629524	7.69421222802396	6.33309971630173	5.38632134404074	5.9071917774046
FUN_016272	7.98937533389807	8.11897774436523	8.40591835959603	7.51562848131339	7.49635002463549	6.73293052691906	7.33251748329765	6.87418722384877	6.09034038342328	6.68634702483716
FUN_016381	6.07240079954831	6.26368486547584	6.19166509963014	5.74272528799408	6.03783149149316	4.91012057701683	5.48172213597957	5.69319254278345	4.90841339090718	5.65509187465499
FUN_016542	9.24480118263934	8.50927735215207	9.20665634915957	8.93834838795474	8.63899104747707	8.51273596586811	9.05208414936044	7.73162068073105	9.49998604223108	8.8034891077978
FUN_016594	6.4409613477856	6.44902021732374	7.63610673107266	6.15965848889144	6.21769822982606	6.32240700771851	6.77679751432331	5.87688282362362	6.89410484213639	6.51480260028459
FUN_009141	8.1662560115768	6.98114252378827	7.16867808811834	6.41932554628192	5.93872399340309	3.95732221164163	7.00781134970964	0	0	6.83154198480989
FUN_009372	0	8.19353861619368	0	0	6.88316133605333	3.95732221164163	0	6.95809875679996	7.26130826695679	4.62838277513595
FUN_010275	0	3.76967714624247	3.67774134439085	0	3.95786153602846	3.95732221164163	0	0	3.57129829656827	3.91759322742473
FUN_011839	0	4.31894285291162	3.34702734933736	4.33802471283152	4.64328228329579	4.19051010978077	4.80132123725059	4.65528369949617	4.03765292171362	4.55154172880129
FUN_012869	0	3.87699468856577	3.34702734933736	0	4.20533887510772	4.11689061237861	0	0	0	4.62838277513595
FUN_030318	6.53771937477004	6.44902021732374	6.9868134996049	6.54345104352121	8.70078884326497	8.17012036859663	6.04368556648199	9.29601646987838	8.64779251905446	8.42966665197279
FUN_007274	4.36364715344455	0	4.1731441172882	4.33802471283152	4.36654801961643	4.51098916657378	0	5.14350354564772	4.81850304384519	4.62838277513595
FUN_008650	8.65024723512693	7.97542152242075	7.97361120786455	7.13645060406421	6.25936718048643	6.16694435211369	7.88403306983537	5.91471076662087	5.53487101321776	6.24884864409657
FUN_008887	5.21568760381248	3.76967714624247	4.76636753355989	0	0	0	3.73567814733983	0	0	3.97756676473137
FUN_009459	7.18627202841078	7.10772599742694	7.39900455601125	7.17534651730885	7.11267510237154	6.83975693916131	6.9951994998038	7.09619414802372	6.90506743622247	6.8716062923051
FUN_009711	3.70635490629307	4.46369936030043	3.81842652146717	0	4.80208682721968	4.51098916657378	4.68048640962069	4.60988514048343	3.95567000833689	4.83703203942582
FUN_010020	8.68234842998116	7.88188919224712	8.22182034169801	8.0429365461287	5.81377678222866	7.40126341506612	8.06388663915029	6.18618008364657	5.32233643396533	5.77823494346265
